slug,title,cover,existing_inline_image_count,audit_status,video_url
paris-to-venice-by-train-across-switzerland-and-the-alps,Paris to Venice by Train: Across Switzerland and the Alps,/images/posts/paris-to-venice-by-train-across-switzerland-and-the-alps.jpg,9,generally sufficient,
lucerne-to-st-gallen-on-the-voralpen-express-switzerland-beyond-the-high-alps,Lucerne to St Gallen on the Voralpen-Express: Switzerland Beyond the High Alps,/images/posts/lucerne-to-st-gallen-on-the-voralpen-express-switzerland-beyond-the-high-alps.jpg,2,generally sufficient,
madrid-to-sigüenza-by-train-a-medieval-escape-into-the-heart-of-castile,Madrid to Sigüenza by Train: A Medieval Escape into the Heart of Castile,/images/posts/madrid-to-siguenza-by-train-a-medieval-escape-into-the-heart-of-castile.jpg,2,generally sufficient,
discover-oeschinensee-by-train-switzerland-s-most-beautiful-alpine-lake,Discover Oeschinensee by Train: Switzerland's Most Beautiful Alpine Lake,/images/posts/discover-oeschinensee-by-train-switzerland-s-most-beautiful-alpine-lake.jpg,1,review/add images,
around-mount-etna-by-train-sicily-s-most-extraordinary-railway-journey,Around Mount Etna by Train: Sicily's Most Extraordinary Railway Journey,/images/posts/around-mount-etna-by-train-sicily-s-most-extraordinary-railway-journey.jpg,3,generally sufficient,
bellinzona-to-lucerne-across-switzerland-on-the-historic-gotthard-route,Bellinzona to Lucerne: Across Switzerland on the Historic Gotthard Route,/images/posts/bellinzona-to-lucerne-across-switzerland-on-the-historic-gotthard-route.jpg,3,generally sufficient,
marseille-to-ventimiglia-by-train-one-of-europe-s-most-beautiful-coastal-rail-journeys,Marseille to Ventimiglia by Train: One of Europe's Most Beautiful Coastal Rail Journeys,/images/posts/marseille-to-ventimiglia-by-train-one-of-europe-s-most-beautiful-coastal-rail-jo.jpg,4,generally sufficient,
train-des-pignes-discover-provence-s-hidden-railway-from-nice-to-digne-les-bains,Train des Pignes: Discover Provence's Hidden Railway from Nice to Digne-les-Bains,/images/posts/train-des-pignes-discover-provence-s-hidden-railway-from-nice-to-digne-les-bains.jpg,2,generally sufficient,
discovering-cádiz-by-train-spain-s-ancient-atlantic-city,Discovering Cádiz by Train: Spain's Ancient Atlantic City,/images/posts/discovering-cadiz-by-train-spain-s-ancient-atlantic-city.jpg,9,generally sufficient,https://orjsrwlemsxjyexqbfqo.supabase.co/storage/v1/object/public/blog-videos/cadiz.mp4
a-summer-weekend-in-paris-by-train-how-to-experience-the-city-like-a-local,A Summer Weekend in Paris by Train: How to Experience the City Like a Local,/images/posts/a-summer-weekend-in-paris-by-train-how-to-experience-the-city-like-a-local.jpg,11,generally sufficient,
exploring-lake-geneva-by-train-the-lavaux-vineyards-vevey-montreux-and-chillon,"Exploring Lake Geneva by Train: The Lavaux Vineyards, Vevey, Montreux and Chillon",/images/posts/exploring-lake-geneva-by-train-the-lavaux-vineyards-vevey-montreux-and-chillon.jpg,4,generally sufficient,
paris-to-mont-saint-michel-by-train-how-to-do-it-properly,Paris to Mont-Saint-Michel by Train: How to Do It Properly,/images/posts/paris-to-mont-saint-michel-by-train-how-to-do-it-properly.jpg,3,generally sufficient,
feria-del-caballo-in-jerez-horses-sherry-and-andalucía-at-its-most-spectacular,"Feria del Caballo in Jerez: Horses, Sherry and Andalucía at Its Most Spectacular",/images/posts/feria-del-caballo-in-jerez-horses-sherry-and-andalucia-at-its-most-spectacular.jpg,8,generally sufficient,https://orjsrwlemsxjyexqbfqo.supabase.co/storage/v1/object/public/blog-videos/jerez.mp4
tarifa-and-the-dunes-of-valdevaqueros-without-a-car-where-europe-meets-africa,Tarifa and the Dunes of Valdevaqueros Without a Car: Where Europe Meets Africa,/images/posts/tarifa-and-the-dunes-of-valdevaqueros-without-a-car-where-europe-meets-africa.jpg,6,generally sufficient,https://orjsrwlemsxjyexqbfqo.supabase.co/storage/v1/object/public/blog-videos/tarifa.mp4
erice-by-train-and-cable-car-sicily-s-most-magical-hilltop-town,Erice by Train and Cable Car: Sicily's Most Magical Hilltop Town,/images/posts/erice-by-train-and-cable-car-sicily-s-most-magical-hilltop-town.jpg,7,generally sufficient,https://orjsrwlemsxjyexqbfqo.supabase.co/storage/v1/object/public/blog-videos/erice.mp4
córdoba-by-train-the-easiest-day-trip-from-seville-and-one-of-spain-s-greatest-historic-cities,Córdoba by Train: The Easiest Day Trip from Seville and One of Spain’s Greatest Historic Cities,/images/posts/cordoba-by-train-the-easiest-day-trip-from-seville-and-one-of-spain-s-greatest-h.jpg,7,generally sufficient,
mount-pilatus-by-train-lucerne-s-most-spectacular-mountain-day-trip,Mount Pilatus by Train: Lucerne’s Most Spectacular Mountain Day Trip,/images/posts/mount-pilatus-by-train-lucerne-s-most-spectacular-mountain-day-trip.jpg,3,generally sufficient,https://orjsrwlemsxjyexqbfqo.supabase.co/storage/v1/object/public/blog-videos/mount-pilatus.mp4
the-palio-dei-rioni-castiglion-fiorentino-s-fiercest-tradition,The Palio dei Rioni: Castiglion Fiorentino's Fiercest Tradition,/images/posts/the-palio-dei-rioni-castiglion-fiorentino-s-fiercest-tradition.jpg,3,generally sufficient,https://orjsrwlemsxjyexqbfqo.supabase.co/storage/v1/object/public/blog-videos/palio-dei-rioni.mp4
crossing-spain-by-train-from-barcelona-to-san-sebastián,Crossing Spain by Train: From Barcelona to San Sebastián,/images/posts/crossing-spain-by-train-from-barcelona-to-san-sebastian.jpg,3,generally sufficient,
spain-s-most-spectacular-day-trip-by-train-barcelona-to-montserrat,Spain's Most Spectacular Day Trip by Train: Barcelona to Montserrat,/images/posts/spain-s-most-spectacular-day-trip-by-train-barcelona-to-montserrat.jpg,1,review/add images,
